Reference, Value, Description, Digikey Part Number, Digikey Price
C1,0.1uF,CAP CER 0.1UF 50V X7R 1206,478-3797-1-ND,0.44
C2,330nF,CAP CER 0.33UF 50V X7R 1206,478-6055-1-ND,0.68
IC1,ADS124S06IPBSR,"24-Bit, 4kSPS, 6-Ch Delta-Sigma ADC with PGA and Voltage Reference for Precision Sensor Measurement",296-45169-1-ND,13.57
C3,4.7uF,CAP CER 4.70UF 50.0V 1206,399-C1206X475J5RAC7800CT-ND,0.99
R11,750R,RES SMD 750 OHM 0.05% 1/10W 0603,RG16N750WCT-ND,1.16
R4,130R,RES SMD 130 OHM 0.05% 1/10W 0603,408-1679-1-ND,1.16
R1,100R,RES 100 OHM 1% 1/10W 0603,RMCF0603FT100RCT-ND,0.15
R7,750R,RES SMD 750 OHM 0.05% 1/10W 0603,RG16N750WCT-ND,1.16
R2,100R,RES 100 OHM 1% 1/10W 0603,RMCF0603FT100RCT-ND,0.15
R3,130R,RES SMD 130 OHM 0.05% 1/10W 0603,408-1679-1-ND,1.16
R12,47R,RES 47 OHM 1% 1/10W 0603,RMCF0603FT47R0CT-ND,0.15
R10,47R,RES 47 OHM 1% 1/10W 0603,RMCF0603FT47R0CT-ND,0.15
R9,47R,RES 47 OHM 1% 1/10W 0603,RMCF0603FT47R0CT-ND,0.15
R5,22K,RES 22K OHM 1% 1/10W 0603,RMCF0603FG22K0CT-ND,0.15
R6,22K,RES 22K OHM 1% 1/10W 0603,RMCF0603FG22K0CT-ND,0.15
R8,47R,RES 47 OHM 1% 1/10W 0603,RMCF0603FT47R0CT-ND,0.15
J2,RTD1,CONN HEADER SMD 2POS 2.54MM,WM9852-ND,0.8
J3,RTD2,CONN HEADER SMD 2POS 2.54MM,WM9852-ND,0.8
J1,SPI,CONN HEADER SMD 6POS 2.54MM,WM17457-ND,0.86
,,,,
,,,,23.98